num,dcode2019,dcname,dcnameeng,dempercent2019,treatmentfixed,demseat2019
1,A01,中環,Chung Wan,.55090231,1,1
3,A02,半山東,Mid Levels East,.57277602,1,1
5,A03,衛城,Castle Road,.51052028,0,1
7,A04,山頂,Peak,.31349206,0,0
9,A05,大學,University,.51351351,1,0
12,A06,觀龍,Kwun Lung,.5069015,1,0
15,A07,堅摩,Kennedy Town & Mount Davis,.59450728,0,0
18,A08,西環,Sai Wan,.56482911,0,0
21,A09,寶翠,Belcher,.52664822,0,0
24,A10,石塘咀,Shek Tong Tsui,.55269784,0,0
26,A11,西營盤,Sai Ying Pun,.55388981,0,0
28,A12,上環,Sheung Wan,.59410381,1,1
30,A13,東華,Tung Wah,.60835445,0,0
32,A14,正街,Centre Street,.58898562,0,0
34,A15,水街,Water Street,.59618348,1,0
36,B01,軒尼詩,Hennessy,.68225163,0,1
39,B02,愛群,Oi Kwan,.57451981,1,0
41,B03,鵝頸,Canal Road,.57758093,1,0
43,B04,銅鑼灣,Causeway Bay,.5495702,1,0
45,B05,維園,Victoria Park,.54073912,0,0
47,B06,天后,Tin Hau,.52499092,0,0
49,B07,大坑,Tai Hang,.6201961,0,1
51,B08,渣甸山,Jardine's Lookout,.30872637,0,0
54,B09,樂活,Broadwood,.47080839,0,0
56,B10,跑馬地,Happy Valley,.54488152,0,0
59,B11,司徒拔道,Stubbs Road,.45470133,0,0
61,B12,修頓,Southorn,.47995353,1,0
63,B13,大佛口,Tai Fat Hau,.51463562,0,0
65,C01,太古城西,Tai Koo Shing West,.62866962,1,1
67,C02,太古城東,Tai Koo Shing East,.60950464,1,1
69,C03,鯉景灣,Lei King Wan,.57221764,1,0
71,C04,西灣河,Sai Wan Ho,.63081861,1,1
73,C05,愛秩序灣,Aldrich Bay,.54392809,0,0
76,C06,筲箕灣,Shaukeiwan,.62817508,1,0
78,C07,阿公岩,A Kung Ngam,.52714735,0,0
81,C08,杏花邨,Heng Fa Chuen,.5640564,1,0
83,C09,翠灣,Tsui Wan,.55626559,0,1
85,C10,欣藍,Yan Lam,.52181888,0,0
88,C11,小西灣,Siu Sai Wan,.53667504,1,0
91,C12,景怡,King Yee,.5714286,0,0
94,C13,環翠,Wan Tsui,.54012978,0,0
97,C14,翡翠,Fei Tsui,.56702983,0,1
99,C15,柏架山,Mount Parker,.48322019,1,0
101,C16,寶馬山,Braemar Hill,.4477188,0,0
103,C17,炮台山,Fortress Hill,.57720709,1,0
105,C18,城市花園,City Garden,.4712798,0,0
108,C19,和富,Provident,.48938462,0,0
111,C20,堡壘,Fort Street,.50605875,1,0
113,C21,錦屏,Kam Ping,.50700325,0,0
115,C22,丹拿,Tanner,.57654107,0,1
117,C23,健康村,Healthy Village,.53243726,1,0
119,C24,鰂魚涌,Quarry Bay,.55373257,1,0
121,C25,南豐,Nam Fung,.65477997,0,1
123,C26,康怡,Kornhill,.59117603,0,1
125,C27,康山,Kornhill Garden,.59243363,1,1
127,C28,興東,Hing Tung,.57815683,0,0
129,C29,下耀東,Lower Yiu Tung,.60549134,0,0
131,C30,上耀東,Upper Yiu Tung,.52781135,1,0
133,C31,興民,Hing Man,.51435256,1,0
135,C32,樂康,Lok Hong,.55995601,0,0
