"","location","hits","keyword","geo","gprop"
"1","North Dakota",100,"economy","US","web"
"2","District of Columbia",98,"economy","US","web"
"3","California",69,"economy","US","web"
"4","Virginia",67,"economy","US","web"
"5","Georgia",62,"economy","US","web"
"6","Hawaii",60,"economy","US","web"
"7","Texas",60,"economy","US","web"
"8","North Carolina",59,"economy","US","web"
"9","Arizona",58,"economy","US","web"
"10","New Jersey",56,"economy","US","web"
"11","Massachusetts",56,"economy","US","web"
"12","Illinois",56,"economy","US","web"
"13","Connecticut",55,"economy","US","web"
"14","Florida",55,"economy","US","web"
"15","Delaware",55,"economy","US","web"
"16","Indiana",55,"economy","US","web"
"17","Wyoming",55,"economy","US","web"
"18","New York",54,"economy","US","web"
"19","Vermont",54,"economy","US","web"
"20","Colorado",54,"economy","US","web"
"21","Washington",53,"economy","US","web"
"22","Maryland",53,"economy","US","web"
"23","Oregon",52,"economy","US","web"
"24","Pennsylvania",52,"economy","US","web"
"25","Oklahoma",51,"economy","US","web"
"26","Idaho",49,"economy","US","web"
"27","South Carolina",48,"economy","US","web"
"28","Wisconsin",47,"economy","US","web"
"29","Michigan",47,"economy","US","web"
"30","Nevada",47,"economy","US","web"
"31","New Mexico",47,"economy","US","web"
"32","Utah",47,"economy","US","web"
"33","Missouri",46,"economy","US","web"
"34","Montana",46,"economy","US","web"
"35","Tennessee",46,"economy","US","web"
"36","Rhode Island",45,"economy","US","web"
"37","Alaska",45,"economy","US","web"
"38","South Dakota",44,"economy","US","web"
"39","New Hampshire",44,"economy","US","web"
"40","Iowa",44,"economy","US","web"
"41","Alabama",44,"economy","US","web"
"42","Kansas",44,"economy","US","web"
"43","Nebraska",43,"economy","US","web"
"44","Maine",43,"economy","US","web"
"45","Arkansas",43,"economy","US","web"
"46","Minnesota",43,"economy","US","web"
"47","Ohio",42,"economy","US","web"
"48","Mississippi",40,"economy","US","web"
"49","Louisiana",38,"economy","US","web"
"50","Kentucky",35,"economy","US","web"
"51","West Virginia",34,"economy","US","web"
"52","Wisconsin",100,"health care","US","web"
"53","District of Columbia",97,"health care","US","web"
"54","Massachusetts",90,"health care","US","web"
"55","Minnesota",85,"health care","US","web"
"56","Florida",81,"health care","US","web"
"57","Arizona",80,"health care","US","web"
"58","North Carolina",80,"health care","US","web"
"59","Maryland",79,"health care","US","web"
"60","West Virginia",77,"health care","US","web"
"61","Connecticut",77,"health care","US","web"
